Datefirstseen,SrcIPAddr,DstIPAddr,Datefirstseenunix,Duration,Proto,SrcPt,DstPt,Packets,Bytes
2016-09-12 10:36:17.447,192.168.56.12,52.18.63.80,1473669377,0,ICMP,0,8,1,32
2016-09-12 10:36:19.303,192.168.56.12,52.18.63.80,1473669379,0,ICMP,0,8,1,32
2016-09-12 10:36:30.035,192.168.56.12,8.8.8.8,1473669390,0,UDP,62200,53,1,30
2016-09-12 10:36:30.049,8.8.8.8,192.168.56.12,1473669390,0,UDP,53,62200,1,62
2016-09-12 10:36:44.972,192.168.56.12,8.8.8.8,1473669404,0,UDP,54953,53,1,77
2016-09-12 10:36:45.007,8.8.8.8,192.168.56.12,1473669405,0,UDP,53,54953,1,93
2016-09-12 10:36:46.126,192.168.56.12,8.8.8.8,1473669406,0,UDP,62026,53,1,77
2016-09-12 10:36:46.162,8.8.8.8,192.168.56.12,1473669406,0,UDP,53,62026,1,93
2016-09-12 10:36:46.167,192.168.56.12,52.18.63.80,1473669406,0,ICMP,0,8,1,32
2016-09-12 10:36:48.239,192.168.56.12,52.18.63.80,1473669408,0,ICMP,0,8,1,32
2016-09-12 10:35:59.205,192.168.56.12,52.18.63.80,1473669359,0,TCP,49164,80,6,436
2016-09-12 10:35:57.367,192.168.56.12,224.0.0.252,1473669357,0,UDP,55841,5355,2,44
2016-09-12 10:35:57.365,192.168.56.12,224.0.0.252,1473669357,0,UDP,55635,5355,2,44
2016-09-12 10:35:59.226,52.18.63.80,192.168.56.12,1473669359,0,TCP,80,49164,4,798
2016-09-12 10:37:13.839,192.168.56.12,8.8.8.8,1473669433,0,UDP,60389,53,1,77
2016-09-12 10:37:14.318,8.8.8.8,192.168.56.12,1473669434,0,UDP,53,60389,1,93
2016-09-12 10:37:14.319,192.168.56.12,8.8.8.8,1473669434,0,UDP,52879,53,1,77
2016-09-12 10:37:14.331,8.8.8.8,192.168.56.12,1473669434,0,UDP,53,52879,1,93
2016-09-12 10:36:15.714,31.220.16.3,192.168.56.12,1473669375,35,TCP,21,49168,14,903
2016-09-12 10:36:51.137,31.220.16.3,192.168.56.12,1473669411,0,TCP,35680,49174,3,72
2016-09-12 10:36:15.697,192.168.56.12,31.220.16.3,1473669375,35,TCP,49168,21,13,415
2016-09-12 10:36:51.120,192.168.56.12,31.220.16.3,1473669411,0,TCP,49174,35680,5,1332
2016-09-12 10:36:11.097,192.168.56.12,13.80.12.54,1473669371,1,UDP,123,123,2,96
2016-09-12 10:35:59.206,192.168.56.12,52.18.63.80,1473669359,120,TCP,49163,80,11,840
2016-09-12 10:37:13.838,192.168.56.12,52.18.63.80,1473669433,0,TCP,49164,80,1,20
2016-09-12 10:36:15.713,192.168.56.12,52.18.63.80,1473669375,9,TCP,49169,445,3,92
