Src IP Addr,Dst IP Addr,Date first seen,Date first seen timestamp,Duration,Proto,Src Pt,Dst Pt,Packets,Bytes
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:36.600, 1620942996.600,     0.000, UDP  ,  56139,     53,        1,       41
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:36.646, 1620942996.646,     0.000, UDP  ,     53,  56139,        1,      142
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:36.685, 1620942996.685,     0.000, UDP  ,  56430,     53,        1,       43
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:36.721, 1620942996.721,     0.000, UDP  ,     53,  56430,        1,      153
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:37.683, 1620942997.683,     0.000, UDP  ,  58057,     53,        1,       47
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:37.835, 1620942997.835,     0.000, UDP  ,     53,  58057,        1,      162
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:38.154, 1620942998.154,     0.000, UDP  ,  54998,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:38.311, 1620942998.311,     0.000, UDP  ,     53,  54998,        1,      131
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:38.837, 1620942998.837,     0.000, UDP  ,  51601,     53,        1,       35
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:38.838, 1620942998.838,     0.000, UDP  ,     53,  51601,        1,       83
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.120, 1620942999.120,     0.000, UDP  ,  57638,     53,        1,       31
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.120, 1620942999.120,     0.000, UDP  ,  60073,     53,        1,       30
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.121, 1620942999.121,     0.000, UDP  ,  64321,     53,        1,       38
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.121, 1620942999.121,     0.000, UDP  ,  49571,     53,        1,       32
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.122, 1620942999.122,     0.000, UDP  ,  51183,     53,        1,       40
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.122, 1620942999.122,     0.000, UDP  ,  62964,     53,        1,       42
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.122, 1620942999.122,     0.000, UDP  ,  56463,     53,        1,       40
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.123, 1620942999.123,     0.000, UDP  ,  58800,     53,        1,       30
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.124, 1620942999.124,     0.000, UDP  ,  54377,     53,        1,       35
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.124, 1620942999.124,     0.000, UDP  ,  57394,     53,        1,       36
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.256, 1620942999.256,     0.000, UDP  ,     53,  57638,        1,       63
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.256, 1620942999.256,     0.000, UDP  ,     53,  58800,        1,      134
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.259, 1620942999.259,     0.000, UDP  ,     53,  51183,        1,      101
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.259, 1620942999.259,     0.000, UDP  ,     53,  62964,        1,      102
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.259, 1620942999.259,     0.000, UDP  ,     53,  64321,        1,       86
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.259, 1620942999.259,     0.000, UDP  ,     53,  49571,        1,      128
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.259, 1620942999.259,     0.000, UDP  ,     53,  60073,        1,      132
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.296, 1620942999.296,     0.000, UDP  ,     53,  57394,        1,       52
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.296, 1620942999.296,     0.000, UDP  ,     53,  54377,        1,      115
         10.0.0.2,       10.0.0.101, 2021-05-13 23:56:39.297, 1620942999.297,     0.000, UDP  ,     53,  56463,        1,      104
       10.0.0.101,         10.0.0.2, 2021-05-13 23:56:39.610, 1620942999.610,     0.000, UDP  ,  53967,     53,        1,       34
          0.0.0.0,  255.255.255.255, 2021-05-13 23:55:36.238, 1620942936.238,     0.000, UDP  ,     68,     67,        1,      340
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:36.238, 1620942936.238,     0.000, UDP  ,     67,     68,        1,      300
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.475, 1620942938.475,     0.001, TCP  ,     88,  49674,        4,      328
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.486, 1620942938.486,     0.001, TCP  ,     88,  49675,        5,     1795
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.498, 1620942938.498,     0.001, TCP  ,     88,  49676,        6,     1881
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.669, 1620942938.669,     0.000, TCP  ,     88,  49680,        4,      328
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.678, 1620942938.678,     0.001, TCP  ,     88,  49681,        5,     1795
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.689, 1620942938.689,     0.001, TCP  ,     88,  49682,        6,     1859
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.691, 1620942938.691,     0.001, TCP  ,     88,  49683,        6,     1676
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.064, 1620942939.064,     0.001, TCP  ,     88,  49687,        4,      328
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.066, 1620942939.066,     0.001, TCP  ,     88,  49688,        5,     1795
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.067, 1620942939.067,     0.001, TCP  ,     88,  49689,        6,     1881
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.639, 1620942939.639,     0.002, TCP  ,     88,  49693,        6,     1821
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.767, 1620942939.767,     0.001, TCP  ,     88,  49695,        6,     1881
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.769, 1620942939.769,     0.000, TCP  ,     88,  49696,        6,     1676
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:37.027, 1620942937.027,     2.045, TCP  ,    389,  49668,        7,     3172
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.498, 1620942938.498,     0.476, TCP  ,    389,  49677,       16,     5525
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.658, 1620942938.658,     0.001, TCP  ,    389,  49679,        3,       72
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.861, 1620942938.861,     0.001, TCP  ,    389,  49684,        3,       72
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.971, 1620942938.971,     0.000, TCP  ,    389,  49685,        3,       72
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.972, 1620942938.972,     0.001, TCP  ,    389,  49686,        3,       72
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.582, 1620942939.582,     0.280, TCP  ,    389,  49691,       12,     6972
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:39.646, 1620942939.646,     0.209, TCP  ,    389,  49694,        8,      847
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.544, 1620942938.544,     0.000, UDP  ,    389,  58724,        1,      193
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:36.847, 1620942936.847,     0.000, UDP  ,    389,  52852,        1,      192
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.758, 1620942938.758,     0.000, UDP  ,    389,  65453,        1,      193
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.318, 1620942938.318,     0.000, UDP  ,    389,  59312,        1,      192
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.341, 1620942938.341,     0.000, UDP  ,    389,  59314,        1,      192
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.353, 1620942938.353,     0.000, UDP  ,    389,  59315,        1,      213
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.863, 1620942938.863,     0.000, UDP  ,    389,  56266,        1,      192
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:37.027, 1620942937.027,     2.045, TCP  ,  49668,    389,        8,     2573
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:38.475, 1620942938.475,     0.001, TCP  ,  49674,     88,        4,      342
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:38.486, 1620942938.486,     0.001, TCP  ,  49675,     88,        5,      442
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:38.498, 1620942938.498,     0.001, TCP  ,  49676,     88,        6,     1869
